dataset,dim,random_state,method,metric1,metric2,bcmo_metric1,bcmo_metric2,metric1_difference,metric2_difference
exp5,4,18,LightGBM,188.25992453985535,228.14446019576556,186.98379312129265,140.28438933923564,1.2761314185626986,87.86007085652992
exp5,4,18,M=128,187.1405639648438,142.3475036621094,186.98379312129265,140.28438933923564,0.15677084355115767,2.0631143228737585
exp5,4,18,M=2048,187.2887725830078,141.7408752441406,186.98379312129265,140.28438933923564,0.3049794617151633,1.4564859049049517
exp5,4,18,M=32,187.1385803222656,142.3416137695312,186.98379312129265,140.28438933923564,0.1547872009729474,2.0572244302955482
exp5,4,18,M=512,187.2025146484375,141.8726654052734,186.98379312129265,140.28438933923564,0.21872152714485082,1.5882760660377642
exp5,4,18,M=8,187.0587768554688,142.2695770263672,186.98379312129265,140.28438933923564,0.07498373417615767,1.9851876871315426
exp5,4,18,R=1,187.1889190673828,141.8197326660156,186.98379312129265,140.28438933923564,0.20512594609016332,1.5353433267799517
exp5,4,18,R=16,187.1405639648438,142.3475036621094,186.98379312129265,140.28438933923564,0.15677084355115767,2.0631143228737585
exp5,4,18,R=256,187.2252655029297,141.9987487792969,186.98379312129265,140.28438933923564,0.24147238163703832,1.7143594400612585
exp5,4,18,R=4,187.2278747558594,142.0081787109375,186.98379312129265,140.28438933923564,0.24408163456675425,1.723789371701855
exp5,4,18,R=64,187.2480163574219,141.6328430175781,186.98379312129265,140.28438933923564,0.26422323612925425,1.3484536783424517
exp5,4,18,Spline-ETO,187.9143524169922,141.3197174072266,186.98379312129265,140.28438933923564,0.9305592956995383,1.035328067990946
exp5,4,18,Spline-QFR,190.931396484375,154.7441864013672,186.98379312129265,140.28438933923564,3.947603363082351,14.459797062131543
exp5,4,18,lambda=0.1,187.1441497802734,154.7056121826172,186.98379312129265,140.28438933923564,0.1603566589807599,14.421222843381543
exp5,4,18,lambda=0.3,187.0888214111328,144.3860778808594,186.98379312129265,140.28438933923564,0.10502828984016332,4.1016885416237585
exp5,4,18,lambda=0.5,187.1405639648438,142.3475036621094,186.98379312129265,140.28438933923564,0.15677084355115767,2.0631143228737585
exp5,4,18,lambda=0.7,187.427490234375,141.3069305419922,186.98379312129265,140.28438933923564,0.4436971130823508,1.0225412027565426
