data_synthetic,dim,random_state,model,metric1,metric2,configured_epochs,epochs_ran,steps_ran,optimizer,data_protocol,error
exp5,19,87,end_to_end,622.1814855719875,415.7951268139077,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,19,87,erm,620.3666434588665,414.19526946771595,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,19,87,lightgbm,623.5651887177532,419.27554071779616,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,19,87,oracle_gmm,620.2986746570222,327.06982377960344,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,24,82,end_to_end,143.9172755534769,173.65470309685463,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,24,82,erm,142.60624997128124,171.93751815858442,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,24,82,lightgbm,142.68681706560622,172.0678436508115,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,24,82,oracle_gmm,142.492298781598,165.99817797159363,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,24,15,end_to_end,471.53906374519903,301.0705965065486,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,24,15,erm,469.9022597568477,299.916600463404,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,24,15,lightgbm,474.3960163630507,310.2868366005196,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,24,15,oracle_gmm,469.6900703136978,214.09000108344324,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,24,4,end_to_end,629.9328547813606,1024.5420878009595,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,24,4,erm,625.3577778617106,1014.8602054460756,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,24,4,lightgbm,633.0158782773361,1035.7172341915618,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,24,4,oracle_gmm,625.2984849094195,764.7058762597395,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,24,95,end_to_end,109.16567075622147,525.7155587483202,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,24,95,erm,105.93005252095158,515.0588488014669,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,24,95,lightgbm,106.77904426691342,514.2242408720928,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,24,95,oracle_gmm,105.87913029187683,343.4284437350835,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,24,36,end_to_end,183.6100964747755,430.7678358184188,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,24,36,erm,181.53900033945143,427.9831678025932,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,24,36,lightgbm,182.037948369708,426.4366104763793,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,24,36,oracle_gmm,181.45700099712903,279.176416064144,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,24,32,end_to_end,89.30037424542158,376.52281798462377,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,24,32,erm,89.52902604949736,378.84601205921086,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,24,32,lightgbm,89.40873049306906,367.5527784547196,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,24,32,oracle_gmm,89.15264130716172,230.01102651984033,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,24,29,end_to_end,260.44134552104333,155.46582358525822,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,24,29,erm,258.4681604897884,153.1659747574042,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,24,29,lightgbm,260.5390922618892,156.63135071065798,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,24,29,oracle_gmm,258.288810867805,123.79157885848215,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,24,18,end_to_end,193.03338368770093,374.5307463888387,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,24,18,erm,191.621812039978,364.4494900955861,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,24,18,lightgbm,191.96676549137237,366.07265961021665,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,24,18,oracle_gmm,191.29582348871432,270.2284476207996,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,24,14,end_to_end,147.86723425148998,437.225600977924,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,24,14,erm,148.60748896882646,569.5801331135901,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,24,14,lightgbm,148.488196910477,538.7257664433421,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,24,14,oracle_gmm,146.05829434254915,241.55256062509193,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
exp5,24,87,end_to_end,1034.2968260085313,729.5698612453746,50,50.0,9050.0,projected_sgd,fixed_parameter_conditional_mixture_v2,
exp5,24,87,erm,1023.1901743974124,722.0977254012953,50,,,gurobi_exact,fixed_parameter_conditional_mixture_v2,
exp5,24,87,lightgbm,1026.5216447133068,724.824442445777,50,,50.0,lightgbm_quantile,fixed_parameter_conditional_mixture_v2,
exp5,24,87,oracle_gmm,1023.078995699099,623.507759293232,0,0,64,true_dgp_quantile_bisection,fixed_parameter_conditional_mixture_v2,
