dataset,dim,random_state,lambda,method,metric1,metric2,replications,samples_per_replication,final_samples_per_replication,fidelity_weight,smoothing_mu,configured_epochs,epochs_ran,batch_size,steps_ran,optimizer,initial_checkpoint_sha256,ipa_gradient_variance_trace,ipa_gradient_variance_mean_per_parameter,ipa_gradient_std_norm,ipa_gradient_mean_norm,ipa_gradient_relative_variance,ipa_gradient_loss_mean,ipa_gradient_loss_variance,gradient_variance_repeats,gradient_variance_batch_size,gradient_variance_replications,gradient_variance_samples_per_replication,gradient_variance_seed,gradient_parameter_count,weighted_ipa_gradient_variance_trace,ipa_gradient_weight
van_havre,9,29,0.5,rseto_ipa_lambda0.5,303.759765625,166.49562072753906,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,9106c1dc9e1973bee95a2084754f1b44065d13a911eee7a64c4b08dde7eb5564,,,,,,,,,,,,,,,
van_havre,9,29,0.7,rseto_ipa_lambda0.7,308.9552001953125,164.51565551757812,16.0,128.0,137.0,0.7,0.05,50,50,64,9050,projected_sgd,9106c1dc9e1973bee95a2084754f1b44065d13a911eee7a64c4b08dde7eb5564,,,,,,,,,,,,,,,
van_havre,9,29,0.9,rseto_ipa_lambda0.9,323.57080078125,162.3982696533203,16.0,128.0,137.0,0.9,0.05,50,50,64,9050,projected_sgd,9106c1dc9e1973bee95a2084754f1b44065d13a911eee7a64c4b08dde7eb5564,,,,,,,,,,,,,,,
van_havre,9,18,0.1,rseto_ipa_lambda0.1,287.8048400878906,239.3678741455078,16.0,128.0,137.0,0.1,0.05,50,50,64,9050,projected_sgd,47714be7278b215b0c07c1085b2d0a1908a2f15cd100810be2fea7475afc897b,,,,,,,,,,,,,,,
van_havre,9,18,0.3,rseto_ipa_lambda0.3,291.0248107910156,158.44313049316406,16.0,128.0,137.0,0.3,0.05,50,50,64,9050,projected_sgd,47714be7278b215b0c07c1085b2d0a1908a2f15cd100810be2fea7475afc897b,,,,,,,,,,,,,,,
van_havre,9,18,0.5,rseto_ipa_lambda0.5,297.9102783203125,153.93150329589844,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,47714be7278b215b0c07c1085b2d0a1908a2f15cd100810be2fea7475afc897b,,,,,,,,,,,,,,,
van_havre,9,18,0.7,rseto_ipa_lambda0.7,311.53375244140625,152.45584106445312,16.0,128.0,137.0,0.7,0.05,50,50,64,9050,projected_sgd,47714be7278b215b0c07c1085b2d0a1908a2f15cd100810be2fea7475afc897b,,,,,,,,,,,,,,,
van_havre,9,18,0.9,rseto_ipa_lambda0.9,330.2818908691406,151.37530517578125,16.0,128.0,137.0,0.9,0.05,50,50,64,9050,projected_sgd,47714be7278b215b0c07c1085b2d0a1908a2f15cd100810be2fea7475afc897b,,,,,,,,,,,,,,,
van_havre,9,14,0.1,rseto_ipa_lambda0.1,293.81610107421875,297.48699951171875,16.0,128.0,137.0,0.1,0.05,50,50,64,9050,projected_sgd,48c122be09bea5305d765014c2fab41ce4cb86376cec4fc21ef687482d363258,,,,,,,,,,,,,,,
van_havre,9,14,0.3,rseto_ipa_lambda0.3,294.7450256347656,206.9915008544922,16.0,128.0,137.0,0.3,0.05,50,50,64,9050,projected_sgd,48c122be09bea5305d765014c2fab41ce4cb86376cec4fc21ef687482d363258,,,,,,,,,,,,,,,
