dataset,dim,random_state,m,method,metric1,metric2,replications,samples_per_replication,final_samples_per_replication,fidelity_weight,smoothing_mu,configured_epochs,epochs_ran,batch_size,steps_ran,optimizer,initial_checkpoint_sha256,ipa_gradient_variance_trace,ipa_gradient_variance_mean_per_parameter,ipa_gradient_std_norm,ipa_gradient_mean_norm,ipa_gradient_relative_variance,ipa_gradient_loss_mean,ipa_gradient_loss_variance,gradient_variance_repeats,gradient_variance_batch_size,gradient_variance_replications,gradient_variance_samples_per_replication,gradient_variance_seed,gradient_parameter_count,weighted_ipa_gradient_variance_trace,ipa_gradient_weight
van_havre,9,82,2048,rseto_ipa_m2048,281.1105041503906,219.47308349609375,16.0,2048.0,2057.0,0.5,0.05,50,50,64,9050,projected_sgd,b02cbb333fcb357b46bb08288a7f4a450b5883f5c8c928e26c08b6bba9238aa6,,,,,,,,,,,,,,,
van_havre,9,15,8,rseto_ipa_m8,258.8521728515625,196.3130645751953,16.0,8.0,17.0,0.5,0.05,50,50,64,9050,projected_sgd,6fcd0e875758a965a12358f11770b2d0fa16670cbcccfcd527b153b7901a5c38,,,,,,,,,,,,,,,
van_havre,9,15,32,rseto_ipa_m32,258.9903869628906,166.70864868164062,16.0,32.0,41.0,0.5,0.05,50,50,64,9050,projected_sgd,6fcd0e875758a965a12358f11770b2d0fa16670cbcccfcd527b153b7901a5c38,,,,,,,,,,,,,,,
van_havre,9,15,128,rseto_ipa_m128,259.2777404785156,163.1215362548828,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,6fcd0e875758a965a12358f11770b2d0fa16670cbcccfcd527b153b7901a5c38,,,,,,,,,,,,,,,
van_havre,9,15,512,rseto_ipa_m512,259.3460998535156,161.93301391601562,16.0,512.0,521.0,0.5,0.05,50,50,64,9050,projected_sgd,6fcd0e875758a965a12358f11770b2d0fa16670cbcccfcd527b153b7901a5c38,,,,,,,,,,,,,,,
van_havre,9,15,2048,rseto_ipa_m2048,259.40606689453125,161.71408081054688,16.0,2048.0,2057.0,0.5,0.05,50,50,64,9050,projected_sgd,6fcd0e875758a965a12358f11770b2d0fa16670cbcccfcd527b153b7901a5c38,,,,,,,,,,,,,,,
van_havre,9,4,8,rseto_ipa_m8,296.6578674316406,243.6652679443359,16.0,8.0,17.0,0.5,0.05,50,50,64,9050,projected_sgd,8052f193c71acdd22cb40dc893d59c6f6ffe317c363dc8b5605ba5029e6b7ac2,,,,,,,,,,,,,,,
van_havre,9,4,32,rseto_ipa_m32,296.8862609863281,169.2796630859375,16.0,32.0,41.0,0.5,0.05,50,50,64,9050,projected_sgd,8052f193c71acdd22cb40dc893d59c6f6ffe317c363dc8b5605ba5029e6b7ac2,,,,,,,,,,,,,,,
van_havre,9,4,128,rseto_ipa_m128,300.30303955078125,157.7053985595703,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,8052f193c71acdd22cb40dc893d59c6f6ffe317c363dc8b5605ba5029e6b7ac2,,,,,,,,,,,,,,,
van_havre,9,4,512,rseto_ipa_m512,299.6139831542969,157.42373657226562,16.0,512.0,521.0,0.5,0.05,50,50,64,9050,projected_sgd,8052f193c71acdd22cb40dc893d59c6f6ffe317c363dc8b5605ba5029e6b7ac2,,,,,,,,,,,,,,,
van_havre,9,4,2048,rseto_ipa_m2048,299.63336181640625,156.80274963378906,16.0,2048.0,2057.0,0.5,0.05,50,50,64,9050,projected_sgd,8052f193c71acdd22cb40dc893d59c6f6ffe317c363dc8b5605ba5029e6b7ac2,,,,,,,,,,,,,,,
van_havre,9,95,8,rseto_ipa_m8,276.5733337402344,255.29364013671875,16.0,8.0,17.0,0.5,0.05,50,50,64,9050,projected_sgd,5db6a433f7917441ae753a1ad868fac638efd482fa35f62f34479fcc00c27058,,,,,,,,,,,,,,,
van_havre,9,95,32,rseto_ipa_m32,276.77166748046875,201.5904998779297,16.0,32.0,41.0,0.5,0.05,50,50,64,9050,projected_sgd,5db6a433f7917441ae753a1ad868fac638efd482fa35f62f34479fcc00c27058,,,,,,,,,,,,,,,
van_havre,9,95,128,rseto_ipa_m128,277.2599182128906,192.02574157714844,16.0,128.0,137.0,0.5,0.05,50,50,64,9050,projected_sgd,5db6a433f7917441ae753a1ad868fac638efd482fa35f62f34479fcc00c27058,,,,,,,,,,,,,,,
van_havre,9,95,512,rseto_ipa_m512,277.45416259765625,192.2144470214844,16.0,512.0,521.0,0.5,0.05,50,50,64,9050,projected_sgd,5db6a433f7917441ae753a1ad868fac638efd482fa35f62f34479fcc00c27058,,,,,,,,,,,,,,,
van_havre,9,95,2048,rseto_ipa_m2048,277.7166748046875,191.6995849609375,16.0,2048.0,2057.0,0.5,0.05,50,50,64,9050,projected_sgd,5db6a433f7917441ae753a1ad868fac638efd482fa35f62f34479fcc00c27058,,,,,,,,,,,,,,,
van_havre,9,36,8,rseto_ipa_m8,287.0610046386719,451.7668151855469,16.0,8.0,17.0,0.5,0.05,50,50,64,9050,projected_sgd,44079dae9badcc73a14bd11861819da0538d78987c2acb8396650f0aab0974e6,,,,,,,,,,,,,,,
van_havre,9,36,32,rseto_ipa_m32,288.57879638671875,190.63575744628903,16.0,32.0,41.0,0.5,0.05,50,50,64,9050,projected_sgd,44079dae9badcc73a14bd11861819da0538d78987c2acb8396650f0aab0974e6,,,,,,,,,,,,,,,
