data_synthetic,dim,random_state,model,metric1,metric2,configured_epochs,epochs_ran,steps_ran,optimizer,data_protocol,error
van-havre,14,15,oracle_gmm,254.33698543432237,151.08549557564717,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,4,end_to_end,255.06204088361193,1388.1414396193898,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,4,erm,256.18333274980995,1363.799592072078,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,4,lightgbm,286.2205609927241,1056.891654133906,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,4,oracle_gmm,254.48046045146336,140.99805365393672,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,95,end_to_end,265.91941832485963,1193.8749055138176,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,95,erm,259.5090412679652,1194.403024550443,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,95,lightgbm,294.0385669740218,966.5236209263952,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,95,oracle_gmm,255.7840964147201,176.97504800076086,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,36,end_to_end,263.29357969674595,1166.0260152612043,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,36,erm,261.18708040941686,1170.3538463977095,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,36,lightgbm,302.4714330702402,850.4217257572201,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,36,oracle_gmm,256.02268426432556,143.42666314316992,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,32,end_to_end,264.0657362629853,1230.2171029576562,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,32,erm,258.4721475841133,1219.217462106663,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,32,lightgbm,277.5564126170709,1052.9604367125776,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,32,oracle_gmm,257.0869114638977,151.47583263494298,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,29,end_to_end,262.9334375851584,1263.097600358377,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,29,erm,304.5005489130904,1134.7174486884542,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,29,lightgbm,336.17537862639654,948.415886944206,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,29,oracle_gmm,258.19101858477313,147.5959775888996,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,18,end_to_end,263.61669764004193,1259.7405032580434,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,18,erm,258.8783002586037,1246.719739489659,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,18,lightgbm,299.74355735656604,1028.6225384025715,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,18,oracle_gmm,256.52506465919873,147.9420170858062,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,14,end_to_end,261.9912286103976,1293.6345420738214,50,50.0,9050.0,projected_sgd,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,14,erm,253.966987570674,1279.7813291882949,50,,,gurobi_exact,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,14,lightgbm,324.50956131212433,1025.0001335206543,50,,50.0,lightgbm_quantile,literature_van_havre_2015_sim4_conditional_v1,
van-havre,14,14,oracle_gmm,253.49446421542112,158.66449547048674,0,0,64,true_dgp_quantile_bisection,literature_van_havre_2015_sim4_conditional_v1,
